num_iter,max_error,l2_energy,rmse,rrmse,rmsre,step_size,time,solve_time,constraint_time,direction_time,line_search_time,direction_norm,direction_residual,
0,1.76129494274881448,0.00000000000000000,0.00000000000000000,0.00000000000000000,0.00000000000000000,1.00000000000000000,0.00000000000000000,0.00000000000000000,0.00000000000000000,0.00000000000000000,0.00000000000000000,0.00000000000000000,0.00000000000000000,
1,1.42159175473563071,598.16594624145534453,0.00003893404629233,0.00012548110880161,0.04495370891903226,0.25000000000000000,1.35843000000000003,0.27164199999999999,0.30860700000000002,0.33332699999999998,0.60462300000000002,138.35212423279438099,0.00000000076149548,
2,1.24230526278129094,1693.67899020454478887,0.00006669265985321,0.00021494475155433,0.07640441124091560,0.25000000000000000,2.89805599999999997,0.38577000000000000,0.49313800000000008,0.48602900000000004,0.55368599999999990,103.52447692245750943,0.00000000047049628,
3,1.30348027326758409,3777.35927780519523367,0.00010233804245145,0.00032982677790477,0.11636362089054479,0.50000000000000000,4.04492899999999977,0.29707400000000000,0.29966999999999988,0.36455899999999986,0.47177499999999961,64.80914632495520777,0.00000000018636020,
4,0.75815818613272778,5969.98840645182735898,0.00013199223372665,0.00042539970587348,0.14940021474524715,1.00000000000000000,5.14409999999999989,0.32147500000000001,0.45864599999999989,0.40182499999999965,0.22895899999999969,27.84992035944929256,0.00000000004732355,
5,0.11077913112718818,5973.52914411436358932,0.00013231672319929,0.00042644550775382,0.14947860384061057,1.00000000000000000,6.27397699999999947,0.32307700000000000,0.42010900000000007,0.41254900000000028,0.29058899999999976,2.47474764771225342,0.00000000000091715,
6,0.00072841538331048,5975.53033700573541864,0.00013235669054448,0.00042657431909680,0.14951923052637428,1.00000000000000000,7.27435000000000009,0.30955899999999997,0.38188700000000075,0.38739400000000046,0.22470400000000001,0.15198042955906668,0.00000000000018437,
7,0.00000011386291110,5975.53500645417807391,0.00013235680149368,0.00042657467667661,0.14951935112045051,1.00000000000000000,8.28965499999999977,0.31489699999999998,0.37566000000000077,0.40036100000000108,0.23308899999999966,0.00118365999542530,0.00000000000000054,
8,0.00000005693145599,5975.53500637056549749,0.00013235680149248,0.00042657467667273,0.14951935111963327,0.50000000000000000,9.51018099999999933,0.33291900000000002,0.43111600000000116,0.40212399999999882,0.38092400000000026,0.00000009802787635,0.00000000000000000,
9,0.00000002846573466,5975.53500632881696220,0.00013235680149188,0.00042657467667079,0.14951935111922554,0.50000000000000000,10.56562800000000024,0.28452899999999998,0.34606899999999996,0.35332999999999970,0.35022200000000048,0.00000004901396437,0.00000000000000000,
10,0.00000000000001243,5975.53500628692836472,0.00013235680149128,0.00042657467666885,0.14951935111881620,1.00000000000000000,11.42652599999999907,0.26838299999999998,0.30775000000000041,0.33058199999999971,0.21605300000000049,0.00000002450705603,0.00000000000000000,
