Solver,Threads,Solver Time (s),Line Search Time (s),Grad/Hessian Time (s),Total Time (s),E_worst
CG,1,87.526,86.895,51.673,244.842,4.168556
CG,2,83.518,90.228,50.383,243.190,4.168556
CG,4,57.262,78.903,48.603,202.998,4.168556
CG,8,52.225,84.162,48.489,202.671,4.168556
CG,16,47.019,87.664,48.838,203.005,4.168556
Parallel_CG,1,141.479,40.590,50.825,251.567,3.425525
Parallel_CG,2,86.699,33.497,46.330,182.511,3.504589
Parallel_CG,4,68.101,36.212,47.454,168.780,3.542441
Parallel_CG,8,58.956,33.921,46.360,155.197,3.479585
Parallel_CG,16,47.331,37.847,47.485,150.493,4.501328
Ch_LLT,8,246.617,25.824,51.853,343.083,1.176261
